Conference,Year,Name,Institution,Continent
IEEEcloud,2012,Marco Aiello,University of Groningen,EU
IEEEcloud,2012,Mikio Aoyama,Nanzan University,AS
IEEEcloud,2012,Danilo Ardagna,Politecnico di Milano,EU
IEEEcloud,2012,Janaka L. Balasooriya,Arizona State University,NA
IEEEcloud,2012,Bhuvan Bamba,Oracle,NA
IEEEcloud,2012,Sujoy Basu,HP Labs–Palo Alto,NA
IEEEcloud,2012,Elisa Bertino,Purdue University,NA
IEEEcloud,2012,Viraj Bhat,Yahoo,NA
IEEEcloud,2012,Brain Blake,University of Notre Dame,NA
IEEEcloud,2012,Steve Bobrowski,Salesforce.com,NA
IEEEcloud,2012,Mario Bravetti,University of Bologna,EU
IEEEcloud,2012,Rajkumar Buyya,University of Melbourne,OC
IEEEcloud,2012,Jiannong Cao,Hong Kong Polytechnic University,AS
IEEEcloud,2012,David Carrera,Technical University of Catalonia,NA
IEEEcloud,2012,Haopeng Chen,Shanghai Jiao Tong University,AS
IEEEcloud,2012,Keke Chen,Wright State University,NA
IEEEcloud,2012,Peter Chen,Carnegie-Mellon University & Louisiana State University (LSU),NA
IEEEcloud,2012,Yong Chen,Texas Tech University,NA
IEEEcloud,2012,Ludmila Cherkasova,HP,NA
IEEEcloud,2012,Malolan Chetlur,IBM,NA
IEEEcloud,2012,Tzi-Cker Chiueh,Industrial Technology Research Institute,AS
IEEEcloud,2012,Alfredo Cuzzocrea,ICAR-CNR & University of Calabria,EU
IEEEcloud,2012,Wu Chou,"Huawei IT Lab, Huawei",AS
IEEEcloud,2012,Ernesto Damiani,University of Milan,EU
IEEEcloud,2012,Noel De Palma,INRIA SARDES Research Group,EU
IEEEcloud,2012,Nirmit Desai,IBM India Research Lab,AS
IEEEcloud,2012,Tudor A. Dumitras,Symantec Research Labs,NA
IEEEcloud,2012,Khalil El-Khatib,University of Ontario Institute of Technology,NA
IEEEcloud,2012,Mohamed Eltoweissy,Pacific Northwest National Laboratory,NA
IEEEcloud,2012,Robert van Engelen,Florida State University,NA
IEEEcloud,2012,Elena Ferrari,"Politiche e dell’Informazione, University of Insubria at Como",EU
IEEEcloud,2012,Liana L. Fong,IBM T.J. Watson Research Center,NA
IEEEcloud,2012,Marcus Fontoura,Google,NA
IEEEcloud,2012,Jose Fortes,University of Florida,NA
IEEEcloud,2012,Geoffrey Fox,Indiana University,NA
IEEEcloud,2012,Dennis Gannon,Microsoft Research,NA
IEEEcloud,2012,Yuqing Gao,IBM T.J. Watson Research Center,NA
IEEEcloud,2012,Dimitrios Georgakopoulos,"CSIRO ICT Center, Canberra, ACT",OC
IEEEcloud,2012,Vladimir Getov,University of Westminster,EU
IEEEcloud,2012,Nathan Gnanasambandam,"XEROX Labs, Webster, NY",NA
IEEEcloud,2012,Claude Godart,Nancy University and INRIA,EU
IEEEcloud,2012,Karthik Gomadam,Accenture Technology Labs–Silicon Valley,NA
IEEEcloud,2012,Nils Gruschka,University of Applied Science Kiel,EU
