Conference,Year,level_2,X0
IEEEcloud,2012,pct_big_na,4.76
IEEEcloud,2012,pct_big_eu,2.38
IEEEcloud,2012,pct_big_as,3.17
IEEEcloud,2012,pct_big_other,0.0
IEEEcloud,2013,pct_big_na,5.65
IEEEcloud,2013,pct_big_eu,4.03
IEEEcloud,2013,pct_big_as,2.42
IEEEcloud,2013,pct_big_other,0.0
IEEEcloud,2014,pct_big_na,4.76
IEEEcloud,2014,pct_big_eu,0.79
IEEEcloud,2014,pct_big_as,0.79
IEEEcloud,2014,pct_big_other,1.59
IEEEcloud,2015,pct_big_na,4.35
IEEEcloud,2015,pct_big_eu,2.61
IEEEcloud,2015,pct_big_as,3.48
IEEEcloud,2015,pct_big_other,0.0
IEEEcloud,2016,pct_big_na,15.12
IEEEcloud,2016,pct_big_eu,2.33
IEEEcloud,2016,pct_big_as,4.65
IEEEcloud,2016,pct_big_other,0.0
IEEEcloud,2017,pct_big_na,7.59
IEEEcloud,2017,pct_big_eu,3.8
IEEEcloud,2017,pct_big_as,2.53
IEEEcloud,2017,pct_big_other,1.27
IEEEcloud,2018,pct_big_na,9.89
IEEEcloud,2018,pct_big_eu,4.4
IEEEcloud,2018,pct_big_as,4.4
IEEEcloud,2018,pct_big_other,1.1
IEEEcloud,2019,pct_big_na,7.23
IEEEcloud,2019,pct_big_eu,3.61
IEEEcloud,2019,pct_big_as,2.41
IEEEcloud,2019,pct_big_other,0.0
IEEEcloud,2020,pct_big_na,4.11
IEEEcloud,2020,pct_big_eu,2.74
IEEEcloud,2020,pct_big_as,4.11
IEEEcloud,2020,pct_big_other,0.0
IEEEcloud,2021,pct_big_na,10.34
IEEEcloud,2021,pct_big_eu,10.34
IEEEcloud,2021,pct_big_as,11.49
IEEEcloud,2021,pct_big_other,0.0
IEEEcloud,2022,pct_big_na,8.33
IEEEcloud,2022,pct_big_eu,6.67
IEEEcloud,2022,pct_big_as,20.0
IEEEcloud,2022,pct_big_other,0.0
IEEEcloud,2023,pct_big_na,5.97
IEEEcloud,2023,pct_big_eu,10.45
IEEEcloud,2023,pct_big_as,7.46
IEEEcloud,2023,pct_big_other,0.0
IEEEcloud,2024,pct_big_na,14.29
IEEEcloud,2024,pct_big_eu,0.0
IEEEcloud,2024,pct_big_as,18.37
IEEEcloud,2024,pct_big_other,0.0
asplos,2012,pct_big_na,21.62
asplos,2012,pct_big_eu,2.7
asplos,2012,pct_big_as,5.41
asplos,2013,pct_big_na,16.67
asplos,2013,pct_big_eu,0.0
asplos,2013,pct_big_as,0.0
asplos,2014,pct_big_na,24.0
asplos,2014,pct_big_eu,0.0
asplos,2014,pct_big_as,2.0
asplos,2015,pct_big_na,17.39
asplos,2015,pct_big_eu,4.35
asplos,2015,pct_big_as,0.0
asplos,2016,pct_big_na,21.82
asplos,2016,pct_big_eu,0.0
asplos,2016,pct_big_as,3.64
asplos,2016,pct_big_other,0.0
asplos,2017,pct_big_na,26.79
asplos,2017,pct_big_eu,0.0
asplos,2017,pct_big_as,1.79
asplos,2018,pct_big_na,12.5
asplos,2018,pct_big_eu,1.79
asplos,2018,pct_big_as,0.0
asplos,2018,pct_big_other,0.0
asplos,2019,pct_big_na,19.18
asplos,2019,pct_big_eu,1.37
asplos,2019,pct_big_as,2.74
asplos,2020,pct_big_na,15.12
asplos,2020,pct_big_eu,2.33
asplos,2020,pct_big_as,4.65
asplos,2021,pct_big_na,16.0
asplos,2021,pct_big_eu,5.33
asplos,2021,pct_big_as,1.33
asplos,2021,pct_big_other,0.0
asplos,2022,pct_big_na,11.39
asplos,2022,pct_big_eu,2.53
asplos,2022,pct_big_as,6.33
asplos,2023,pct_big_na,18.54
asplos,2023,pct_big_eu,1.32
asplos,2023,pct_big_as,8.61
asplos,2023,pct_big_other,0.0
asplos,2024,pct_big_na,17.95
asplos,2024,pct_big_eu,3.08
asplos,2024,pct_big_as,5.64
atc,2012,pct_big_na,40.62
atc,2012,pct_big_eu,6.25
atc,2012,pct_big_as,0.0
atc,2013,pct_big_na,24.24
atc,2013,pct_big_eu,0.0
atc,2013,pct_big_as,12.12
atc,2014,pct_big_na,29.55
atc,2014,pct_big_eu,2.27
atc,2014,pct_big_as,2.27
atc,2015,pct_big_na,23.4
atc,2015,pct_big_eu,4.26
atc,2015,pct_big_as,10.64
atc,2016,pct_big_na,23.4
atc,2016,pct_big_eu,4.26
